RANK,NAME,CITY,Full Address,Country,Latitude,Longitude,COMPLETION,Height,Meters,Feet,FLOORS,MATERIAL,FUNCTION,Link
1,Burj Khalifa,Dubai,Burj Khalifa Dubai ,United Arab Emirates,25.197197,55.2743764,2010,"828 m/2,717 ft",828 m,"2,717 ft",163,steel/concrete,office / residential / hotel,https://www.skyscrapercenter.com/building/burj-khalifa/3
2,Shanghai Tower,Shanghai,Shanghai Tower Shanghai ,China,31.233518,121.505618,2015,"632 m/2,073 ft",632 m,"2,073 ft",128,composite,hotel / office,https://www.skyscrapercenter.com/building/shanghai-tower/56
3,Makkah Royal Clock Tower,Mecca,Makkah Royal Clock Tower Mecca ,Saudi Arabia,21.4186828,39.8252756,2012,"601 m/1,972 ft",601 m,"1,972 ft",120,steel/concrete,other / hotel,https://www.skyscrapercenter.com/building/makkah-royal-clock-tower/84
4,Ping An Finance Center,Shenzhen,Ping An Finance Center Shenzhen ,China,22.533096,114.055865,2017,"599.1 m/1,965 ft",599.1 m,"1,965 ft",115,composite,office,https://www.skyscrapercenter.com/building/ping-an-finance-center/54
5,Lotte World Tower,Seoul,Lotte World Tower Seoul ,South Korea,37.5124705,127.1023832,2017,"554.5 m/1,819 ft",554.5 m,"1,819 ft",123,composite,hotel / residential / office / retail,https://www.skyscrapercenter.com/building/lotte-world-tower/88
6,One World Trade Center,New York City,One World Trade Center New York City ,United States of America,40.7127431,-74.0133795,2014,"541.3 m/1,776 ft",541.3 m,"1,776 ft",94,composite,office,https://www.skyscrapercenter.com/building/one-world-trade-center/98
7,Guangzhou CTF Finance Centre,Guangzhou,Guangzhou CTF Finance Centre Guangzhou ,China,23.1175997,113.3259267,2016,"530 m/1,739 ft",530 m,"1,739 ft",111,composite,hotel / residential / office,https://www.skyscrapercenter.com/building/guangzhou-ctf-finance-centre/176
7,Tianjin CTF Finance Centre,Tianjin,Tianjin CTF Finance Centre Tianjin ,China,39.021667,117.698056,2019,"530 m/1,739 ft",530 m,"1,739 ft",97,composite,hotel / serviced apartments / office,https://www.skyscrapercenter.com/building/tianjin-ctf-finance-centre/310
9,CITIC Tower,Beijing,CITIC Tower Beijing ,China,39.930818,116.4359296,2018,"527.7 m/1,731 ft",527.7 m,"1,731 ft",109,composite,office,https://www.skyscrapercenter.com/building/citic-tower/11116
10,TAIPEI 101,Taipei,TAIPEI 101 Taipei ,Taiwan,25.0336752,121.5648831,2004,"508 m/1,667 ft",508 m,"1,667 ft",101,composite,office,https://www.skyscrapercenter.com/building/taipei-101/117
11,Shanghai World Financial Center,Shanghai,Shanghai World Financial Center Shanghai ,China,31.2342797,121.5079157,2008,"492 m/1,614 ft",492 m,"1,614 ft",101,composite,hotel / office,https://www.skyscrapercenter.com/building/shanghai-world-financial-center/131
12,International Commerce Centre,Hong Kong,International Commerce Centre Hong Kong ,China,22.3034032,114.1601907,2010,"484 m/1,588 ft",484 m,"1,588 ft",108,composite,hotel / office,https://www.skyscrapercenter.com/building/international-commerce-centre/137
13,Central Park Tower,New York City,Central Park Tower New York City ,United States of America,40.7661169,-73.980933,2020,"472.4 m/1,550 ft",472.4 m,"1,550 ft",98,concrete,residential,https://www.skyscrapercenter.com/building/central-park-tower/14269
14,Lakhta Center,St. Petersburg,Lakhta Center St. Petersburg ,Russia,59.9870885,30.1777433,2019,"462 m/1,516 ft",462 m,"1,516 ft",87,composite,office,https://www.skyscrapercenter.com/building/lakhta-center/12575
15,Vincom Landmark 81,Ho Chi Minh City,Vincom Landmark 81 Ho Chi Minh City ,Vietnam,10.7946436,106.7221662,2018,"461.2 m/1,513 ft",461.2 m,"1,513 ft",81,composite,hotel / residential,https://www.skyscrapercenter.com/building/vincom-landmark-81/18192
